row_id,pid,rlabel,ordercon,ip,dateadded,datemodified,numsecs,nummins,code,rankOrder,rank2indif,rank3indif,rank4indif,rank5indif,rank6indif,rank7indif,rank8indif,rank9indif,actuallyrank,feelfirst,feellast,howcompetitive,howfit,gender,age,ethnicity
1,19962,w,1,ip_00386,2015-01-19 15:10:04,2018-01-18 18:21:33,200,3.33,19962-55296,"5,9,2,8,3",0.73,0.70,,0.39,,,0.11,0.11,5,6,2,5,4,F,21,Asian
2,19975,n,2,ip_00328,2015-01-19 15:53:20,2018-01-18 18:21:33,210,3.50,19975-27720,"5,2,9,3,8",0.70,0.17,,0.17,,,0.08,0.02,8,7,1,7,5,M,19,White
3,19976,w,1,ip_00410,2015-01-19 15:58:25,2018-01-18 18:21:33,200,3.33,19976-55008,"5,9,2,8,3",0.73,0.48,,0.11,,,0.02,0.02,3,6,5,5,5,M,19,White
4,19981,n,1,ip_00387,2015-01-19 16:58:12,2018-01-18 18:21:33,233,3.88,19981-50040,"5,9,2,8,3",0.89,0.67,,0.30,,,0.14,0.05,3,7,3,3,6,F,19,Asian
5,19982,w,1,ip_00386,2015-01-19 16:58:36,2018-01-18 18:21:33,298,4.97,19982-9360,"5,9,2,8,3",0.86,0.52,,0.61,,,0.11,0.02,3,6,2,6,5,M,21,Asian
6,19980,w,1,ip_00410,2015-01-19 17:00:03,2018-01-18 18:21:33,245,4.08,19980-55584,"5,9,2,8,3",0.61,0.61,,0.36,,,0.08,0.02,2,7,1,7,7,M,20,Asian
7,19978,w,1,ip_00328,2015-01-19 17:05:47,2018-01-18 18:21:33,181,3.02,19978-44352,"5,9,2,8,3",0.61,0.61,,0.61,,,0.61,0.39,3,7,2,3,4,F,21,Asian
8,19984,w,2,ip_00387,2015-01-19 17:35:15,2018-01-18 18:21:33,154,2.57,19984-57384,"5,2,9,3,8",0.89,0.61,,0.48,,,0.05,0.02,4,7,1,6,2,F,19,Other
9,19990,w,2,ip_00386,2015-01-19 17:48:00,2018-01-18 18:21:33,203,3.38,19990-48744,"5,2,9,3,8",0.27,0.39,,0.27,,,0.27,0.27,1,7,1,7,5,M,23,Other
10,19988,w,1,ip_00410,2015-01-19 18:00:08,2018-01-18 18:21:33,321,5.35,19988-12456,"5,9,2,8,3",0.39,0.23,,0.08,,,0.08,0.02,1,7,5,6,5,M,20,Hispanic or Latin American
11,19986,w,2,ip_00328,2015-01-19 18:06:14,2018-01-18 18:21:33,506,8.43,19986-19440,"5,2,9,3,8",0.83,0.30,,0.33,,,0.20,0.17,2,7,3,6,5,M,21,Asian
